store_name,text
FreshBite,Loved the salad bowl — so fresh and affordable!
FreshBite,Good portions but could be a bit cheaper.
Burger Den,Great burger but fries were soggy.
Burger Den,Quick service and tasty burgers.
Pizza Planet,Best pizza I've had in months.
Pizza Planet,Delivery was slow but pizza was hot and tasty.
Juice Lounge,The smoothies are fresh and delicious.
Juice Lounge,Small portions for the price.
Sushi House,Beautiful sushi and very fresh fish.
Sushi House,Good sashimi but service was a little slow.
BrewHub,Excellent coffee and relaxed vibe.
BrewHub,Perfect place to work on a laptop.
Spice Route,Flavorful curry and good spice level.
Spice Route,Found the dish too oily.
Taco Town,Authentic tacos and great salsas.
Taco Town,Too spicy for me but fresh.
Green Bowl,Healthy and filling — loved the quinoa bowl.
Green Bowl,Nice vegan options and friendly staff.
Pasta Palace,Comforting pasta and quick service.
Pasta Palace,Sauce was a bit bland but overall nice.
Sweet Tooth,Delicious cheesecake and great coffee.
Sweet Tooth,Pastries were a bit dry on my visit.
Wok Express,Quick noodles and good taste.
Wok Express,Too salty but fast service.
Steak Haven,Perfect medium-rare steak and great sides.
Steak Haven,High price but worth it for the quality.
Budget Bites,"Very cheap and filling, good for students."
Budget Bites,Food was OK but great price.
Soul Smoothies,Fresh fruit and energetic staff.
Soul Smoothies,Love the acai — very refreshing.
Noodle Nest,Comfortable place and noodles taste homemade.
Noodle Nest,Service was slow but noodles were good.
Falafel Corner,Tasty falafel and generous portions.
Falafel Corner,Wrap was slightly dry.
Grill & Chill,Great barbecue flavor.
Grill & Chill,Too smoky on one visit.
Veggie Delight,"Fresh vegetarian meals, tasty sauces."
Veggie Delight,Really enjoyed my lunch there.
Pancake Stop,Perfect pancakes and friendly staff.
Pancake Stop,Took a while to get our table.
Seafood Shack,Fresh prawns and great seasoning.
Seafood Shack,Portions were small for the price.
Kebab King,Authentic kebab and nice spice.
Kebab King,Good takeout and quick service.
The Salad Bar,Good build-your-own options.
The Salad Bar,Could use more protein options.
Roti Roll,Tasty rolls and fast.
Roti Roll,"Good for a quick bite,Wrapped well."
Crepe Cafe,Lovely sweet crepes.
Crepe Cafe,Not enough filling in savory crepe.
Bao House,Soft baos and tasty fillings.
Bao House,Small portion sizes.
Grillstone,Great sandwiches.
Grillstone,Sandwiches were a bit dry.
Curry Leaf,"Reminds me of home cooking, very comforting."
Curry Leaf,Too salty on thin crust pizza (odd).
Veg Express,Quick healthy wraps for lunch.
Veg Express,Loved the hummus wrap!
Bakery Bliss,Fresh breads every morning.
Bakery Bliss,Found a hair once (rare but annoying).
Sizzle It,Fast and filling burgers.
Sizzle It,Too greasy sometimes.
Green Plate,"Lovely organic menu, fresh produce."
Green Plate,On the pricier side.
Rice Bowl,"Good rice bowls, big portions."
Rice Bowl,Flavor could be stronger.
Mediterraneo,Fresh pita and hummus.
Mediterraneo,Great place for light meals.
Gusto Pizza,Cheesy and great flavor.
Gusto Pizza,Small slices for the price.
Chai & Chat,Great chai and cozy seating.
Chai & Chat,Could be louder on busy nights.
Bistro 21,Relaxed lunch spot with good menu.
Bistro 21,Busy at weekends but nice food.
The Deli,Good sandwiches and friendly staff.
The Deli,Salad was wilted once.
Kombucha Co,Fun drinks and healthy vibes.
Kombucha Co,Pricey but tasty.
Wrap World,Quick and tasty wraps.
Wrap World,Too much sauce sometimes.
Farmers Table,Excellent seasonal salads and soups.
Farmers Table,Fresh but sometimes slow service.
Sizzle Shack,"Delicious BBQ ribs,Tender and flavorful."
Sizzle Shack,Great smoky flavor but a bit pricey.
