name,tags,description
FreshBite,healthy,Affordable healthy meals and smoothies; salads and bowls
Burger Den,fast food,Juicy double cheeseburgers and fries; quick meals
Pizza Planet,pizza,"Cheesy pizzas, wood-fired and delivery options"
Juice Lounge,drinks,"Fresh fruit juices, detox blends and bowls"
Sushi House,japanese,"Authentic sushi, sashimi and bento boxes"
BrewHub,cafe,"Specialty coffee, pastries, and light breakfast"
Spice Route,indian,"Traditional Indian curries, biryani, and tandoori"
Taco Town,mexican,"Street-style tacos, burritos and spicy salsas"
Green Bowl,vegan,"Plant-based bowls, salads and smoothies"
Pasta Palace,italian,"Homemade pasta, ravioli and comfort sauces"
Sweet Tooth,dessert,"Bakery cakes, pastries and sweet treats"
Wok Express,chinese,"Noodle bowls, fried rice and quick Chinese dishes"
Steak Haven,steakhouse,"Premium grilled steaks, sides and sauces"
Budget Bites,affordable,Student-friendly affordable meals and combos
Soul Smoothies,healthy,"smoothies, acai bowls and healthy snacks"
Noodle Nest,asian,"noodles, dumplings and small plates"
Falafel Corner,middleeastern,"Wraps, falafel, hummus and salads"
Grill & Chill,bbq,"Grilled burgers, wings and BBQ platters"
Veggie Delight,vegetarian,"Vegetarian meals, soups and salads"
Pancake Stop,breakfast,"All-day breakfast, pancakes and waffles"
Seafood Shack,seafood,"Fresh fish, shrimp and grilled seafood platters"
Kebab King,middleeastern,"Kebabs, grilled meats and spicy sides"
The Salad Bar,healthy,"Salad combinations and build-your-own bowls"
Roti Roll,streetfood,"Indian street rolls, quick and filling"
Crepe Cafe,dessert,"Sweet and savoury crepes with coffee"
Bao House,asian,"Steamed baos, buns and small side dishes"
Grillstone,grill,"Steak sandwiches and grilled platters"
Curry Leaf,indian,"Home-style curries and rice combos"
Veg Express,fast casual,"Healthy wraps and quick vegetarian eats"
Bakery Bliss,bakery,"Fresh breads, sandwiches and desserts"
Sizzle It,fast food,"Panfried grills, burgers and fries"
Green Plate,organic,"Organic salads and locally sourced meals"
Rice Bowl,asian,"Rice bowls, stir-fries and combos"
Mediterraneo,mediterranean,"Pitas, hummus and grilled veggies"
Gusto Pizza,pizza,"Fast wood-oven pizzas and sides"
Chai & Chat,tea,"Cozy tea corner with snacks and light meals"
Bistro 21,casual,"Dine-in casual meals and weekend specials"
The Deli,delicatessen,"Cold cuts, sandwiches and salads"
Kombucha Co,drinks,"Healthy fizzy drinks and wellness tonics"
Wrap World,fast food,"Wraps, sandwiches and quick bites"
Farmers Table,organic,"Locally sourced seasonal dishes"
Sizzle Shack,bbq,"Barbecue ribs, wings and smoked meats"
